Loci	LG	cM
53247	XIX	53.15
50295	XIX	53.15
31746	XIX	55.28
42453	XIX	55.28
40917	XIX	55.28
64822	XIX	55.28
20142	XIX	55.28
21931	XIX	55.28
6088	XIX	55.28
59103	XX	0.00
30603	XX	0.00
35756	XX	0.00
1341	XX	0.00
24253	XX	0.00
16012	XX	2.13
20178	XX	3.20
52380	XX	3.20
20441	XX	5.27
19351	XX	5.27
13856	XX	5.27
55362	XX	9.25
50762	XX	9.25
19050	XX	9.25
19897	XX	10.51
35099	XX	10.51
32520	XX	10.51
1658	XX	10.51
31063	XX	10.51
52856	XX	10.51
32743	XX	11.57
55365	XX	12.62
54232	XX	12.62
24468	XX	12.62
52319	XX	12.62
38433	XX	12.62
36072	XX	12.62
57131	XX	12.62
41939	XX	14.73
12943	XX	16.84
3205	XX	16.84
37119	XX	16.84
40288	XX	16.84
39896	XX	16.84
4707	XX	16.84
59638	XX	16.84
2212	XX	21.07
59404	XX	21.07
64367	XX	22.12
18600	XX	23.18
34377	XX	23.18
31192	XX	29.54
27316	XX	30.58
54382	XX	30.58
41077	XX	30.58
42273	XX	30.58
15392	XX	32.17
58762	XX	33.77
33447	XX	36.94
40527	XX	36.94
22693	XX	36.94
13530	XX	36.94
33842	XX	38.48
3001	XX	41.60
57564	XX	41.60
53335	XX	42.74
29461	XX	43.90
36358	XX	43.90
38427	XX	47.41
1737	XX	48.55
8061	XX	53.84
27839	XX	53.84
21219	XX	58.93
33366	XX	60.21
4109	XX	60.21
62822	XX	61.10
31514	XXI	0.00
59587	XXI	0.00
52851	XXI	1.10
50494	XXI	1.10
57048	XXI	1.10
3826	XXI	3.21
61069	XXI	7.46
50902	XXI	7.46
31802	XXI	8.42
35130	XXI	9.48
59094	XXI	10.54
60372	XXI	10.54
61941	XXI	11.54
31521	XXI	11.54
38079	XXI	17.54
13807	XXI	17.54
45493	XXI	26.41
57050	XXI	26.41
14636	XXI	29.68
39918	XXI	31.21
19166	XXI	31.21
34763	XXI	31.21
34786	XXI	31.21
31167	XXI	37.29
39175	XXI	37.29
746	XXI	37.29
27356	XXI	37.29
1184	XXI	37.29
34434	XXI	38.53
63410	XXI	41.01
33548	XXI	44.84
20035	XXI	44.84
57387	XXI	44.84
53870	XXI	48.65
56318	XXI	52.02
1960	XXI	53.39
18289	XXI	54.49
22237	XXI	54.49
17092	XXII	0.00
4469	XXII	0.00
39017	XXII	0.00
21586	XXII	4.28
49007	XXII	4.28
32314	XXII	4.28
37132	XXII	4.73
28400	XXII	9.68
57962	XXII	9.68
42364	XXII	9.68
47141	XXII	11.13
14114	XXII	17.11
41952	XXII	18.15
3116	XXII	18.15
49682	XXII	18.15
55783	XXII	18.15
57317	XXII	18.15
3360	XXII	18.15
18220	XXII	18.15
17734	XXII	18.15
13308	XXII	19.20
64145	XXII	19.20
38137	XXII	20.26
5783	XXII	20.26
51650	XXII	20.26
12307	XXII	20.26
13687	XXII	23.42
31479	XXII	23.42
52737	XXII	23.42
14097	XXII	23.42
1367	XXII	23.42
4741	XXII	23.42
54983	XXII	23.42
51844	XXII	23.42
52543	XXII	23.42
2947	XXII	23.42
39891	XXII	24.47
2188	XXII	24.47
21200	XXII	26.59
49847	XXII	31.29
56934	XXII	38.42
57129	XXII	49.22
31811	XXII	49.22
12861	XXII	50.04
51644	XXIII	0.00
63734	XXIII	0.00
41329	XXIII	2.01
11092	XXIII	2.01
35007	XXIII	2.01
16645	XXIII	2.01
18304	XXIII	8.92
63873	XXIII	10.64
21500	XXIII	12.75
54604	XXIII	12.75
2893	XXIII	13.80
40520	XXIII	13.80
54288	XXIII	13.80
15823	XXIII	13.80
55609	XXIII	18.56
5012	XXIII	19.73
49596	XXIII	22.10
49679	XXIII	22.10
32295	XXIII	24.45
6855	XXIII	24.45
53343	XXIII	25.47
18533	XXIII	25.47
50802	XXIII	26.53
61287	XXIII	26.53
34111	XXIII	26.53
62773	XXIII	28.64
4222	XXIII	28.64
2142	XXIII	29.69
7972	XXIII	29.69
21006	XXIII	32.86
4110	XXIII	34.97
2274	XXIII	36.02
29566	XXIII	36.02
14821	XXIII	36.02
34618	XXIII	36.02
1753	XXIII	37.08
2828	XXIII	37.08
65068	XXIII	42.37
1748	XXIII	42.37
28802	XXIII	42.37
34802	XXIII	47.66
57829	XXIII	47.66
15283	XXIII	47.66
48618	XXIII	47.66
49278	XXIII	47.66
34131	XXIII	48.81
54823	XXIII	52.01
56244	XXIII	58.50
30765	XXIII	58.50
11149	XXIII	58.50
60887	XXIII	58.50
59182	XXIII	58.50
50238	XXIII	59.56
16443	XXIII	59.56
36603	XIV	0.00
21065	XIV	0.00
50075	XIV	1.05
53136	XIV	1.05
59468	XIV	1.05
62927	XIV	1.05
63138	XIV	1.05
52775	XIV	1.05
41489	XIV	1.05
5417	XIV	2.10
36852	XIV	4.22
35906	XIV	4.22
52977	XIV	5.27
43294	XIV	5.27
11271	XIV	5.27
53307	XIV	5.27
42950	XIV	5.27
51590	XIV	5.27
29053	XIV	5.27
51939	XIV	5.27
3685	XIV	7.40
22089	XIV	8.46
61026	XIV	8.46
29370	XIV	9.52
1890	XIV	9.52
16169	XIV	10.57
2376	XIV	10.57
34325	XIV	10.57
56184	XIV	10.57
50801	XIV	12.68
33891	XIV	12.68
15891	XIV	12.68
1414	XIV	17.70
34520	XIV	19.64
14569	XIV	21.16
20838	XIV	21.16
35788	XIV	26.79
18597	XIV	26.79
4302	XIV	26.79
32234	XIV	31.01
3721	XIV	32.02
34737	XIV	34.14
31873	XIV	34.14
62639	XIV	34.14
45480	XIV	34.14
18580	XIV	39.95
12891	XIV	41.14
55305	XIV	41.14
14716	XIV	43.41
31797	XIV	43.41
37216	XIV	47.06
4848	XIV	47.06
7742	XIV	47.06
64192	XIV	47.06
52910	XIV	49.12
32655	XIV	49.12
17021	XIV	50.40
19200	XIV	59.83
55150	XIV	59.83
45180	XIV	59.83
13531	XIV	59.83
61458	XIV	63.96
57311	XIV	64.94
63935	XIV	64.94
19651	XIV	64.94
