Loci	LG	cM
746	XXI	15.94
32808	XXI	15.94
61451	XXI	17.00
39175	XXI	17.00
35165	XXI	17.00
55910	XXI	17.00
11385	XXI	17.00
50296	XXI	17.00
20939	XXI	17.00
5636	XXI	20.19
51840	XXI	22.31
33548	XXI	26.51
20035	XXI	26.51
57387	XXI	26.51
30188	XXI	29.77
8740	XXI	36.37
41472	XXI	38.23
18031	XXI	38.23
17092	XXII	1.00
4469	XXII	1.00
49007	XXII	1.00
32314	XXII	1.00
42364	XXII	14.08
30313	XXII	14.08
43798	XXII	18.51
24412	XXII	22.33
55783	XXII	23.70
15565	XXII	23.70
61932	XXII	24.89
42100	XXII	27.30
38314	XXII	27.30
57317	XXII	28.36
3360	XXII	28.36
18220	XXII	28.36
38137	XXII	28.36
51650	XXII	28.36
12307	XXII	28.36
3433	XXII	28.36
29431	XXII	28.36
56526	XXII	28.36
13687	XXII	28.91
9337	XXII	29.43
27868	XXII	30.48
27982	XXII	33.65
22957	XXII	33.65
24160	XXII	33.65
54983	XXII	40.00
44386	XXII	40.00
15854	XXII	40.00
39493	XXII	40.00
19079	XXII	42.11
42423	XXII	42.11
52543	XXII	42.11
38457	XXII	42.11
25172	XXII	42.11
38800	XXII	42.11
16182	XXII	43.16
54716	XXII	43.16
28805	XXII	45.52
28749	XXII	49.28
7669	XXII	49.28
21782	XXII	57.43
13657	XXII	57.43
4808	XXIII	1.00
64934	XXIII	1.00
48409	XXIII	4.21
35007	XXIII	4.21
1939	XXIII	4.21
31169	XXIII	4.21
63332	XXIII	13.82
18304	XXIII	13.82
53139	XXIII	13.82
39875	XXIII	15.93
18611	XXIII	18.04
49596	XXIII	18.04
32295	XXIII	18.04
57596	XXIII	18.04
33513	XXIII	20.86
16947	XXIII	22.26
45103	XXIII	26.52
6332	XXIII	26.52
18106	XXIII	28.62
21678	XXIII	28.62
11012	XXIII	28.62
29534	XXIII	29.67
30852	XXIII	29.67
5682	XXIII	29.67
49546	XXIII	31.79
27936	XXIII	32.84
3397	XXIII	32.84
50802	XXIII	32.84
55659	XXIII	33.89
29566	XXIII	33.89
14821	XXIII	33.89
20354	XXIII	33.89
50602	XXIII	33.89
56244	XXIII	33.89
12935	XXIII	36.01
19221	XXIII	36.01
46711	XXIII	37.06
23770	XXIII	38.11
54823	XXIII	41.28
15370	XXIII	41.28
57108	XXIII	41.28
65068	XXIII	41.28
64621	XXIII	41.28
63255	XXIII	41.28
1748	XXIII	41.28
38532	XXIII	42.34
13183	XXIII	43.39
9234	XXIII	43.39
35740	XXIII	45.95
59145	XXIII	49.81
21049	XXIII	50.64
34802	XXIII	51.79
43167	XXIII	51.79
60690	XIV	1.00
46014	XIV	1.79
52775	XIV	1.79
21937	XIV	2.55
43294	XIV	4.66
11271	XIV	4.66
7689	XIV	4.66
13060	XIV	4.66
44329	XIV	5.71
9155	XIV	5.71
51590	XIV	7.83
29053	XIV	7.83
51939	XIV	7.83
29546	XIV	7.83
10167	XIV	7.83
3685	XIV	7.83
53318	XIV	8.87
63677	XIV	8.87
688	XIV	9.93
46007	XIV	9.93
43306	XIV	13.10
37464	XIV	13.10
29586	XIV	13.10
50786	XIV	14.15
1890	XIV	15.21
16169	XIV	15.21
46197	XIV	15.21
50801	XIV	17.35
33891	XIV	17.35
11718	XIV	19.49
33471	XIV	20.53
14569	XIV	20.53
39958	XIV	20.53
35788	XIV	20.53
52540	XIV	20.53
18597	XIV	20.53
36128	XIV	20.53
58331	XIV	21.76
46999	XIV	21.76
4302	XIV	21.76
53838	XIV	27.95
42004	XIV	31.11
40230	XIV	31.11
61736	XIV	31.11
31873	XIV	31.11
44159	XIV	31.11
35019	XIV	31.11
28878	XIV	31.11
24415	XIV	33.74
17989	XIV	33.74
6403	XIV	36.39
44096	XIV	37.44
11636	XIV	37.44
8193	XIV	37.44
27382	XIV	37.44
49960	XIV	37.44
7532	XIV	37.44
20135	XIV	37.44
16514	XIV	39.55
23617	XIV	39.55
26072	XIV	39.55
33593	XIV	44.18
42186	XIV	44.18
48179	XIV	46.49
40598	XIV	47.65
7123	XIV	48.79
4848	XIV	48.79
22714	XIV	52.24
14232	XIV	52.24
64192	XIV	52.24
25934	XIV	56.48
22551	XIV	56.48
6063	XIV	57.50
45180	XIV	71.05
23727	XIV	71.05
